Artigo,Data,Kg
PAC/WO CONV. 24/1NE(24.TEX) 90%PAC 10%WO,20/02/2010,449
SALDO DE PUE,21/02/2010,518
CV/PES OE 30/1NE(19.8TEX) 70%CV 30%PES,21/02/2010,3337
FIBRA HCS 15DX32MM 15DEN(1.7TEX) 100%PES SO,21/02/2010,4452
FIO MX-1/100 110DEN(12.2TEX) 60%PES 40%MT BR,21/02/2010,247
DTY 150/48DEN(16.7TEX) 0T 100%PES SO,22/02/2010,3770
CHUVISCO 162/48DEN(18TEX) 100%PES SO,22/02/2010,1370
ALGODAO PENTEADO 26/1NE(22.7TEX) 100%CO,22/02/2010,2948
RESIDUO DE SDY PES100% SACOS,23/02/2010,3512
DELL 4 90/37DEN(10TEX) 92%PA 8%PUE SO,23/02/2010,4665
VISCOSE OE 40/1NE(14.9TEX) 100%CV,24/02/2010,3058
DIAMANTE 80/12DEN(8.9TEX) 100%PES BR,25/02/2010,4828
SDY 150/48DEN(16.7TEX) 100%PES BR,26/02/2010,2537
TREND-HU 190/51DEN(21.1TEX) 93%PES 7%PUE SO,26/02/2010,1780
VISCOSE CONV. 40/1NE(14.9TEX) 100%CV,26/02/2010,864
BAMBOO/CO CONV. 40/1NE(14.9TEX) 70%CV 30%CO,27/02/2010,3388
PES FIADO 120 - 5.000mt 100%PES  - VERDE ESCURO,28/02/2010,489
VISCOSE OE 30/1NE(19.8TEX) 100%CV,01/03/2010,3813
CANCELADO-RESIDUO DE FIO-MX  PES52% PA48% SACOS,01/03/2010,4024
PES FIADO CONV. 30/1NE(19.8TEX) 100%PES,01/03/2010,3959
SDY 50/24DEN(5.6TEX) 100%PES SO,02/03/2010,322
POY 125/36DEN(13.9TEX) 100%PES SO,03/03/2010,1345
SALDO DE PUE,04/03/2010,3506
PES FIADO CONV. 60/1NE(9.9TEX) 100%PES,05/03/2010,4718
ATY 160/144DEN(17.7TEX) 100%PA(PA 6) FD,06/03/2010,3790
SDY 300/10DEN(33.3TEX) 100%PES SO,07/03/2010,3603
CRISPY 20DEN(2.2TEX) 100%PES SO,07/03/2010,2326
CANCELADO-RESIDUO DE FIO-MX  PES52% PA48% SACOS,07/03/2010,3696
DTY 150/48DEN(16.7TEX) 100%PES  - VERDE ESCURO,08/03/2010,1440
LINACEO 300/192DEN(33.3TEX) 0T 100%PES SO,09/03/2010,70
ALGODAO PENTEADO 50/1NE(11.9TEX) 100%CO,09/03/2010,1189
BAMBOO CONV. 40/1NE(14.9TEX) 100%CV,10/03/2010,1486
SDY 150/48DEN(16.7TEX) 100%PES BR,10/03/2010,538
LINACEO TP 150/108DEN(16.7TEX) 2H 0T 100%PES SO,10/03/2010,2330
SDY 30DEN(3.3TEX) 100%PES SO,11/03/2010,774
MIXSPIN 150/96DEN(16.7TEX) 1000T 100%PES SO,11/03/2010,1832
CV/PES OE 30/1NE(19.8TEX) 96%CV 4%PES,12/03/2010,4824
ATY 160/136DEN(17.8TEX) 100%PA SO,12/03/2010,3330
PAC/WO CONV. 24/1NE(24.TEX) 90%PAC 10%WO,12/03/2010,2235
VISCOSE CONV. 40/1NE(14.9TEX) 100%CV,12/03/2010,2900
POY 130/72DEN(14.4TEX) 100%PES SO,12/03/2010,3102
POY 270/48DEN(30TEX) 100%PES SO,13/03/2010,1957
ELASTANO 70DEN(7.8TEX) 100%PUE BR,13/03/2010,3189
FIO MX-1/187 60DEN(6.7TEX) 65%PA 35%FIBRA METALIZADA BR,14/03/2010,4997
CHUVISCO 40/24DEN(4.4TEX) 100%PES SO,15/03/2010,2347
DTY 300/96DEN(33.3TEX) 2H 0T 100%PES SO,16/03/2010,2147
PES/CV MVS 28/1NE(21.2TEX) 67%PES 33%CV,16/03/2010,3570
ATY 200/144DEN(22.2TEX) 100%PA(PA 6) FD,16/03/2010,1973
FIO MX-1/100 DYEING 110DEN(12.2TEX) 55%PES 45%FIBRA METALIZADA BR,17/03/2010,4685
KITE 115/39DEN(12.8TEX) 84%PES 16%PUE SO,17/03/2010,3770
ELASTANO 36DEN(4TEX) 100%PUE SO,17/03/2010,4721
DTY 190/54DEN(21.1TEX) 100%PA SO,17/03/2010,1319
VISCOSE OE 36/1NE(16.5TEX) 100%CV,18/03/2010,2144
DTY TP 150/108DEN(16.7TEX) 2H MI 100%PES SO,18/03/2010,1801
POY 275/48DEN(30.6TEX) 100%PES SO,19/03/2010,4953
ELASTANO 40DEN(4.4TEX) 100%PUE SO,20/03/2010,375
POY 245/48DEN(27.2TEX) 100%PES SO,20/03/2010,3820
PN 160/72DEN(17.8TEX) 100%PES SO,21/03/2010,4795
DTY 75/34DEN(8.3TEX) 2H 0T 100%PES SO,22/03/2010,1265
CV/CL CONV. 30/1NE(19.8TEX) 90%CV 10%CL,22/03/2010,3357
DTY 100/144DEN(11.1TEX) 2H 100%PES SO,23/03/2010,250
FIO MX-1/100 140DEN(15.6TEX) 70%PES 30%PA BR,23/03/2010,3994
DTY 300/96DEN(33.3TEX) 2H 0T 100%PES SO,24/03/2010,4801
BAMBOO/CO CONV. 40/1NE(14.9TEX) 70%CV 30%CO,25/03/2010,2063
DELL 4 90/37DEN(10TEX) 92%PA 8%PUE SO,25/03/2010,481
CV/PES OE 30/1NE(19.8TEX) 96%CV 4%PES,26/03/2010,2404
RED SPIN 90/21DEN(10TEX) 300T 93%PA 7%PUE SO,27/03/2010,2680
POY 250/48DEN(27.8TEX) 100%PES SO,27/03/2010,716
VISCOSE OE 30/1NE(19.8TEX) 100%CV,28/03/2010,1926
GENTOS 65/204DEN(7.2TEX) 100%PES SO,29/03/2010,173
CHUVISCO 150/48DEN(16.7TEX) 100%PES SO,29/03/2010,2532
DTY 75/72DEN(8.3TEX) 2H MI 100%PES SO,29/03/2010,3873
DELL 4 90/37DEN(10TEX) 92%PA 8%PUE SO,29/03/2010,1427
PAC/WO CONV. 24/1NE(24.TEX) 90%PAC 10%WO,29/03/2010,949
FDY 150/96DEN(16.7TEX) 100%PES SO,29/03/2010,1087
PES/CV CONV. 30/1NE(19.8TEX) 65%PES 35%CV CONE MESCLA MEDIO,29/03/2010,4626
VISCOSE CONV. 30/1NE(19.8TEX) 100%CV,29/03/2010,2164
POY 275/48DEN(30.6TEX) 100%PES SO,29/03/2010,157
SDY 360/12DEN(40TEX) 100%PA SO,30/03/2010,3882
CONECTE 150/36DEN(16.7TEX) 800T 53%PES 47%PA SO,31/03/2010,2576
VISCOSE FLAME 30/1NE(19.8TEX) 100%CV,01/04/2010,4309
DTY 300/96DEN(33.3TEX) 0T 100%PES SO,01/04/2010,646
LINACEO 300/96DEN(33.3TEX) 100%PES BR,01/04/2010,257
POY 275/48DEN(30.6TEX) 100%PES SO,01/04/2010,1629
PP 360/64DEN(40TEX) 100%PP SO,02/04/2010,4469
ALGODAO PENTEADO 36/1NE(16.5TEX) 100%CO,02/04/2010,2626
PEACH SKIN 135/108DEN(15.0TEX) MI 100%PES SO,03/04/2010,2149
GRACIA 75/36DEN(8.3TEX) 2000T 100%PES SO,04/04/2010,4505
SILK LIKE 78/72DEN(8.7TEX) 100%PES SO,05/04/2010,650
CRISPY 20DEN(2.2TEX) 100%PES SO,06/04/2010,4617
DTY 75/72DEN(8.3TEX) 1H MI 100%PES FD,07/04/2010,428
DTY 75/34DEN(8.3TEX) MI 100%PES SO,07/04/2010,1122
ALGODAO OE 30/1NE(19.8TEX) 100%CO,08/04/2010,4743
ALGODAO PENT. COMPAC 30/1NE(19.8TEX) 100%CO,08/04/2010,3437
DTY 150/108DEN(16.7TEX) LI 100%PES SO,09/04/2010,3605
DTY 75/72DEN(8.3TEX) 0T 100%PES SO,10/04/2010,322
ALGODAO CONV. 30/1NE(19.8TEX) 100%CO,10/04/2010,4346
SDY 300/10DEN(33.3TEX) 100%PES SO,10/04/2010,2016
GENTOS 65/192DEN(7.2TEX) 100%PES SO,11/04/2010,2469
DTY 150/48DEN(16.7TEX) 100%PES SO,11/04/2010,1325
VISCOSE OE 40/1NE(14.9TEX) 100%CV,12/04/2010,2027
SDY 360/12DEN(40TEX) 100%PA SO,13/04/2010,307
PP 360/64DEN(40TEX) 100%PP SO,14/04/2010,3191
SDY 20DEN(2.2TEX) 100%PES SO,15/04/2010,2416
ELASTANO 70/5DEN(7.8TEX) 100%PUE SO,15/04/2010,4697
DTY 75/36DEN(8.3TEX) 100%PA SO,15/04/2010,307
ELASTANO 40/3DEN(4.4TEX) 100%PUE SO,16/04/2010,2491
CHUVISCO 165/48DEN(18.3TEX) 100%PES SO,17/04/2010,1504
SDY 75/24DEN(8.3TEX) 100%PES SO,18/04/2010,75
LINACEO 300/96DEN(33.3TEX) 100%PES BR,19/04/2010,3168
POY 130/72DEN(14.4TEX) 100%PES SO,20/04/2010,1011
DTY 70/68DEN(7.8TEX) 100%PA(PA 6) SO,20/04/2010,1075
ELASTANO 70DEN(7.8TEX) 100%PES OP,20/04/2010,1637
HELFSPIN SBS 100/24DEN(11.1TEX) 1200T 100%PES SO,21/04/2010,2725
ALGODAO PENTEADO 36/1NE(16.5TEX) 100%CO,21/04/2010,3665
SDY 75/24DEN(8.3TEX) 100%PES SO,22/04/2010,1339
DTY 2X70/68DEN(15.6TEX) 100%PA(PA 6.6) SO,23/04/2010,4568
SDY 240/12DEN(26.7TEX) 100%PA SO,24/04/2010,1331
BAMBOO CONV. 40/1NE(14.9TEX) 100%CV,25/04/2010,2882
DTY 150/108DEN(16.7TEX) 2H MI 100%PES SO,25/04/2010,3751
PES FIADO CONV. 50/1NE(11.9TEX) 100%PES,26/04/2010,4818
VISCOSE RS CONV. 30/1NE(19.8TEX) 100%CV,27/04/2010,1498
FIO MX-1/139 65DEN(7.2TEX) 52%PA 48%FIBRA METALIZADA BR,28/04/2010,3988
CV/PES CONV. 30/1NE(19.8TEX) 55%CV 45%PES,28/04/2010,3887
DELL 4 90/37DEN(10TEX) 92%PA 8%PUE SO,28/04/2010,2226
CV/CO OPEN END 30/1NE(19.8TEX) 80%CV 20%CO,28/04/2010,3196
CV/PES OE 30/1NE(19.8TEX) 70%CV 30%PES,29/04/2010,3858
PES/CV CONV. 40/1NE(14.9TEX) 50%PES 50%CV,29/04/2010,1167
DTY TP 150/108DEN(16.7TEX) 2H MI 100%PES SO,29/04/2010,3229
PES/CV CONV. 30/1NE(19.8TEX) 65%PES 35%CV,29/04/2010,4177
FIO MX-1/69 108DEN(12TEX) 55%PES 45%PA BR,29/04/2010,4082
NICOMA 20/1NE(29.7TEX) 100%PA SO,29/04/2010,168
SDY 50/24DEN(5.6TEX) 100%PES SO,29/04/2010,3363
VISCOSE MVS 40/1NE(14.9TEX) 100%CV,29/04/2010,3096
FIO MX-1/100 DYEING 110DEN(12.2TEX) 55%PES 45%FIBRA METALIZADA BR,30/04/2010,4418
FIBRA HCS 15DX32MM 15DEN(1.7TEX) 100%PES SO,01/05/2010,2339
DTY 150/48DEN(16.7TEX) 100%PES,02/05/2010,2376
CO/CV CONV. 30/1NE(19.8TEX) 50%CO 50%CV,02/05/2010,2733
GENTOS 130/384DEN(14.4TEX) 100%PES SO,03/05/2010,1182
DTY 75/144DEN(8.3TEX) 2H 100%PES SO,04/05/2010,3786
DTY 75/72DEN(8.3TEX) LI 100%PES SO,04/05/2010,2945
PES/CV CONV. 28/1NE(21.2TEX) 65%PES 35%CV,05/05/2010,3410
DTY 75/72DEN(8.3TEX) 1H HI 100%PES SO,06/05/2010,1324
CV/CLY OPEN END 30/1NE(19.8TEX) 78%CV 22%CLY,07/05/2010,4520
DTY 2X70/68DEN(15.6TEX) 100%PA(PA 6) SO,07/05/2010,4487
NICOMA 20/1NE(29.7TEX) 100%PA SO,08/05/2010,4281
ALGODAO CONV. 30/1NE(19.8TEX) 100%CO,08/05/2010,1042
ESPOL-S 300/144DEN(33.3TEX) 100%PES SO,09/05/2010,2236
PES FIADO CONV. 40/1NE(14.9TEX) 100%PES,10/05/2010,3588
GENTOS 130/408DEN(14.4TEX) 100%PES SO,10/05/2010,3448
OWSPIN 100/34DEN(11.1TEX) 600T 100%PES SO,10/05/2010,350
PES FIADO 120 - 5.000mt 100%PES  - VERDE ESCURO,11/05/2010,3003
ELASTANO 19/1DEN(2.1TEX) 100%PUE SO,11/05/2010,1548
CV/PES CONV. 30/1NE(19.8TEX) 55%CV 45%PES,11/05/2010,884
DTY 150/48DEN(16.7TEX) 0T 100%PES,11/05/2010,1516
VISCOSE MVS 40/1NE(14.9TEX) 100%CV,11/05/2010,4706
ELASTANO 20DEN(2.2TEX) 100%PUE BR,11/05/2010,2577
FITA MX-1/69 64DEN(7.1TEX) 100%PES BR,11/05/2010,1559
DTY 150/48DEN(16.7TEX) 0T 100%PES SO,12/05/2010,311
FIO MX-1/100 DYEING 110DEN(12.2TEX) 55%PES 45%FIBRA METALIZADA BR,13/05/2010,3349
CV/PES OE 30/1NE(19.8TEX) 96%CV 4%PES,13/05/2010,2690
DYE BLUE 90/21DEN(10TEX) 94%PA 6%PUE SO,14/05/2010,4734
ELASTANO 30DEN(3.3TEX) 100%PUE SO,14/05/2010,1834
ALGODAO OE 10/1NE(59.5TEX) 100%CO,15/05/2010,1027
PES FIADO OE 40/1NE(14.9TEX) 100%PES,15/05/2010,4662
PES FIADO 120 - 5.000mt 100%PES  - PRETO,15/05/2010,3666
TREND-R 207/51DEN(23TEX) 93%PES 7%PUE SO,16/05/2010,3031
PES FIADO 120 - 5.000mt 100%PES  - VERDE ESCURO,16/05/2010,4820
CRISPY 20DEN(2.2TEX) 100%PES SO,16/05/2010,4819
DTY FT 70/34DEN(7.8TEX) 100%PA SO,17/05/2010,3904
FIO MX-1/92 187DEN(20.8TEX) 73%PES 27%PA BR,17/05/2010,3706
CHUVISCO 162/48DEN(18TEX) 100%PES SO,18/05/2010,4160
SDY 240/12DEN(26.7TEX) 100%PA SO,19/05/2010,4798
PES/CV MVS 28/1NE(21.2TEX) 67%PES 33%CV,19/05/2010,2973
DTY 300/96DEN(33.3TEX) 0T 100%PES SO,20/05/2010,1138
ALGODAO PENTEADO 50/1NE(11.9TEX) 100%CO,21/05/2010,4212
FIO MX-1/100 DYEING 110DEN(12.2TEX) 55%PES 45%FIBRA METALIZADA BR,22/05/2010,4758
FIO MX-1/69 108DEN(12TEX) 62%FIBRA METALIZADA 38%PA BR,23/05/2010,2062
ELASTANO 70DEN(7.8TEX) 100%PUE BR,24/05/2010,1336
ELASTANO 15DEN(1.7TEX) 100%PUE SO,24/05/2010,3252
DTY 300/96DEN(33.3TEX) 0T 100%PES SO,24/05/2010,93
TREND-HU 190/51DEN(21.1TEX) 93%PES 7%PUE SO,24/05/2010,794
ELASTANO 70DEN(7.8TEX) 100%PUE SO,24/05/2010,819
CANCELADO-RESIDUO DE FIO-MX  PES52% PA48% SACOS,25/05/2010,1269
ELASTANO 40DEN(4.4TEX) 100%PUE SO,26/05/2010,3864
HMY 150/288DEN(16.7TEX) 100%PES SO,26/05/2010,4794
SDY 75/36DEN(8.3TEX) 100%PES BR,26/05/2010,3219
ALGODAO OE 30/1NE(19.8TEX) 100%CO,26/05/2010,2130
DTY 200/96DEN(22.2TEX) 100%PES SO,27/05/2010,2388
ELASTANO 36DEN(4TEX) 100%PUE SO,28/05/2010,1072
ALGODAO PENT. COMPAC 30/1NE(19.8TEX) 100%CO,28/05/2010,4182
DTY 150/48DEN(16.7TEX) 2H 0T 100%PES SO,29/05/2010,2868
DTY 150/48DEN(16.7TEX) 100%PES  - BRANCO,29/05/2010,1902
ELASTANO 30DEN(3.3TEX) 100%PUE SO,30/05/2010,4529
ESPOL-S 300/144DEN(33.3TEX) 100%PES SO,30/05/2010,1119
SSY 100/24DEN(11.1TEX) 100%PES SO,30/05/2010,2433
POY 130/72DEN(14.4TEX) 100%PES FD,30/05/2010,4262
ALGODAO PENTEADO 30/1NE(19.8TEX) 100%CO,31/05/2010,1495
POY 275/48DEN(30.6TEX) 100%PES SO,01/06/2010,931
PES FIADO OE 40/1NE(14.9TEX) 100%PES,02/06/2010,4686
FIO MX-1/100 110DEN(12.2TEX) 60%PES 40%MT BR,02/06/2010,2934
CV/CLY OPEN END 30/1NE(19.8TEX) 78%CV 22%CLY,02/06/2010,2458
ALGODAO PENTEADO 30/1NE(19.8TEX) 100%CO,03/06/2010,872
LINACEO TP 167/48DEN(18.6TEX) 2H 0T 100%PES SO,03/06/2010,4761
POY 130/72DEN(14.4TEX) 100%PES SO,03/06/2010,1093
VISCOSE OE 40/1NE(14.9TEX) 100%CV,03/06/2010,430
RED SPIN 90/21DEN(10TEX) 300T 93%PA 7%PUE SO,04/06/2010,455
PES FIADO 120 - 5.000mt 100%PES  - VERDE ESCURO,04/06/2010,4488
ATY 160/136DEN(17.8TEX) 100%PA SO,04/06/2010,2762
SDY 50/24DEN(5.6TEX) 100%PES SO,04/06/2010,3108
DTY 150/48DEN(16.7TEX) 100%PES SO,04/06/2010,3204
DELL 4 90/37DEN(10TEX) 92%PA 8%PUE SO,04/06/2010,3409
FIO MX-1/100 DYEING 110DEN(12.2TEX) 55%PES 45%FIBRA METALIZADA BR,04/06/2010,4658
ELASTANO 15DEN(1.7TEX) 100%PUE BR,04/06/2010,492
FIO MX-1/92 187DEN(20.8TEX) 73%PES 27%PA BR,05/06/2010,3017
ELASTANO 40/3DEN(4.4TEX) 100%PUE SO,06/06/2010,3438
ALGODAO OE 10/1NE(59.5TEX) 100%CO,06/06/2010,2966
SDY 240/12DEN(26.7TEX) 100%PES BR,07/06/2010,2626
ELASTANO 90/6DEN(10TEX) 100%PUE SO,07/06/2010,2160
DTY 300/96DEN(33.3TEX) 2H 0T 100%PES SO,08/06/2010,990
DTY 325/96DEN(36.1TEX) LI 100%PES SO,09/06/2010,4817
VISCOSE MVS 40/1NE(14.9TEX) 100%CV,10/06/2010,727
SALDO DE PUE,11/06/2010,3048
POY 250/48DEN(27.8TEX) 100%PES SO,12/06/2010,2573
DTY 150/48DEN(16.7TEX) 0T 100%PES SO,13/06/2010,3758
DTY 150/48DEN(16.7TEX) 0T 100%PES SO,14/06/2010,2974
BAMBOO CONV. 30/1NE(19.8TEX) 67%CV 33%PA,15/06/2010,734
PES FIADO 120 - 5.000mt 100%PES  - VERDE ESCURO,16/06/2010,1227
DTY 75/72DEN(8.3TEX) LI 100%PES SO,16/06/2010,459
DTY 150/48DEN(16.7TEX) 2H 0T 100%PES SO,16/06/2010,342
DTY 70/24DEN(7.8TEX) 100%PA SO,16/06/2010,4920
FIO MX-1/100 140DEN(15.6TEX) 65%PES 35%PA BR,17/06/2010,2809
DTY 75/144DEN(8.3TEX) 2H 100%PES SO,18/06/2010,3349
PP 360/64DEN(40TEX) 100%PP SO,18/06/2010,1314
POY 125/36DEN(13.9TEX) 100%PES SO,19/06/2010,4851
DTY 150/108DEN(16.7TEX) LI 100%PES SO,20/06/2010,3718
DTY 75/24DEN(8.3TEX) 100%PA SO,21/06/2010,4244
ATY 160/144DEN(17.7TEX) 100%PA(PA 6) FD,21/06/2010,3452
ATY 200/96DEN(22.2TEX) 100%PA(PA 6) FD,22/06/2010,3084
PES/CV MVS 20/1NE(29.7TEX) 65%PES 35%CV,22/06/2010,3230
DTY 75/34DEN(8.3TEX) 2H 0T 100%PES SO,23/06/2010,3091
ELASTANO 40/3DEN(4.4TEX) 100%PUE SO,23/06/2010,4102
ALGODAO PENT. COMPAC 30/1NE(19.8TEX) 100%CO,23/06/2010,2713
CV/PES OE 30/1NE(19.8TEX) 96%CV 4%PES,23/06/2010,1044
ICESPIN-12 100/24DEN(11.1TEX) 1200T 100%PA SO,23/06/2010,1224
DTY 100/108DEN(11.1TEX) MI 100%PES SO,24/06/2010,752
FIO MX-1/100 140DEN(15.6TEX) 65%PES 35%PA BR,24/06/2010,3514
ELASTANO 20/2DEN(2.2TEX) 100%PUE SO,24/06/2010,3575
PES FIADO 120 - 5.000mt 100%PES  - PRETO,25/06/2010,4017
LINACEO TP 167/48DEN(18.6TEX) 2H 0T 100%PES SO,25/06/2010,2798
DTY 150/48DEN(16.7TEX) 100%PES  - VERDE ESCURO,26/06/2010,2068
DTY FT 70/34DEN(7.8TEX) 100%PA SO,26/06/2010,4509
DTY 75/36DEN(8.3TEX) 100%PA SO,27/06/2010,1063
SDY 240/12DEN(26.7TEX) 100%PA SO,28/06/2010,4246
